Name,IMDB ID
Ressources humaines,tt0220726
Chacun son cinéma,tt0973844
Maldone,tt0019127
Paul s'en va,tt0391395
Adriana Lecouvreur,tt0167163
Look Back in Anger,tt0051879
Manufactured Landscapes,tt0832903
Chattahoochee,tt0099242
Emilie jolie,tt2034832
Black & White 1,tt0165643
"Don Giovanni, naissance d'un opéra ",tt0458515
L'Abécédaire de Gilles Deleuze,tt0408472
Utopia Blues,tt0294997
La soif du mal,tt0052311
Yes,nm0704909
Beyond Rangoon,tt0112495
Mississippi Burning,tt0095647
Engel der Sünde,tt0062933
In fabbrica,tt1185428
Morrer como um homen - To Die Like a Man,tt1424361
The House of Sand,tt0373747
Central do Brasil (Central Station),tt0140888
Darbareye Elly            ,tt1360860
Bitter Victory,tt1239455
Planet Terror,tt1077258
Himmel und mehr - Dorothea Buck auf der Spur,tt1338608
Arschkalt,tt1692479
Sneak Preview - Überraschungsfilm,tt0461635
La faute à Fidel,tt0792966
Chaos,tt1591468
Skupljaci Perja - I Even Met Happy Gypsies,tt0062277
Boxing Gym,tt1653827
Wir Kinder aus Bullerbü,tt0090610
About Elly - Darbareye Elly,tt1360860
Gardiens de phare,tt0130730
Laurel Canyon,tt0298408
Le faucon maltais,tt0033870
Bruegel - The Mill and the Cross,tt1324055
Le notti bianche,tt0050782
Asjas Glück,tt0060549
Senso,tt0047469
Dreaming by Numbers,tt0892752
Les sorcières,tt0100944
Les sorcières d'Eastwick,tt0094332
Rocco e i suoi fratelli,tt0054248
Hunger - genug ist nicht genug,tt1423936
Lost in France,tt0162817
Connaissance du Monde: La Nouvelle Zélande,tt0398880
Real Steel,tt0433035
Flamenco,tt0113077
The Whale Rider,tt0298228
Tokyo Monogatari - Reise nach Tokyo,tt0046438
Das Boot ist voll,tt0082095
Something's Gotta Give,tt0337741
Hidden Agenda,tt0099768
The Glass Key,tt0034798
Grissinopoli,tt0450777
J'ai pas sommeil,tt0110171
Connaissance du Monde: La Nouvelle-Zélande,tt0398880
All about Evil,tt1307858
Noise and Resistance,tt1781874
Calibre 9,tt1820407
Chop,tt1544578
Horny House of Horror,tt1806906
Une vierge chez les morts-vivants,tt0066914
Ludwig 1881,tt0107457
Mozart in si bemolle,tt0078256
Despabílate amor,tt0116086
Elsa und Fred,tt0453047
Lauras Stern und die Traummonster,tt1709129
Nader und Simin - Eine Trennung,tt1832382
Le Venin de la peur,tt0067361
Hellacious Acres,tt1828194
Mein Freund Iwan Lapschin,tt0084345
Les Seins qui tuent,tt0036260
The Bunny Game,tt1522846
Tribulation 99,tt0105639
Duffer,tt0217405
Der Tod der Maria Malibran,tt0067861
Chi ha paura di Virginia Woolf,tt0061184
Red Road,tt0471030
Anyone,tt1880921
Hello Dolly,tt0064418
